Name,Atomic Number,Atomic Radius,Atomic Volume,atomic_weight,dipole_polarizability,period,boiling_point,c6,covalent_radius_bragg,covalent_radius_cordero,covalent_radius_pyykko,covalent_radius_pyykko_double,covalent_radius_pyykko_triple,c6_gb,density,dipole_polarizability_unc,electron_affinity,evaporation_heat,fusion_heat,gas_basicity,glawe_number,heat_of_formation,ionic_radii,melting_point,mendeleev_number,metallic_radius,metallic_radius_c12,proton_affinity,specific_heat,thermal_conductivity,vdw_radius,vdw_radius_alvarez,vdw_radius_batsanov,vdw_radius_bondi,vdw_radius_dreiding,vdw_radius_mm3,vdw_radius_rt,vdw_radius_truhlar,vdw_radius_uff,VALENCE,Ch(M),Ch(H),Rad_M,Rad_H,V_M,V_H,Lat,BULKM,YOUNGM,SHEARM,POISSONR,peak_width,MAX_rdf
Thallium,81,190.0,17.2,204.38,50.0,6,1730.0,,190.0,145.0,144.0,142.0,150.0,509.0,11.8,2.0,0.377,162.4,4.31,,81,182.2,150.0,576.6,85,144.0,160.0,,0.128,46.1,196.0,247.0,220.00000000000003,196.0,,259.0,,,434.69999999999993,14.0002,12.9095,1.426291,2.887141,1.810707,202.957874,52.68793,5.0021201079,296.44047,41.28377,14.68947,0.40522,5.123689775758834,0.043096366103183
Lead,82,180.0,18.3,207.2,47.0,6,2013.0,,,146.0,144.0,135.0,137.0,534.0,11.3,3.0,0.35674316,177.8,4.77,,82,195.2,98.0,600.65,91,150.0,170.0,,0.159,35.3,202.0,260.0,229.99999999999997,202.0,,274.0,,,429.7,14.9998,13.907771,1.44255,2.925526,1.809477,212.174845,50.747294,5.0693332728,407.73666,-233.36752,-65.40753,0.78395,3.3113689782445306,0.0003200975928423
Tin,50,145.0,16.3,118.71,53.0,5,2543.0,659.0,140.0,139.0,140.0,130.0,132.0,715.0,7.287,6.0,1.112067,296.0,7.07,,83,301.2,55.00000000000001,505.1,90,142.0,163.0,,0.222,66.8,217.0,242.0,225.0,217.0,447.0,259.0,,,439.19999999999993,14.9998,13.88367,1.475228,2.75414,1.79051,186.371487,47.363754,4.8728653665,439.46883,216.1307,76.94449,0.40446,5.076671313811701,0.0423180085732451
Rubidium,37,235.0,55.9,85.4678,319.8,5,961.0,4769.0,225.0,220.00000000000003,210.0,202.0,,4660.0,1.53,0.3,0.48591999999999996,75.8,2.2,,9,80.9,152.0,312.2,4,216.0,248.0,,0.36,58.2,303.0,321.0,290.0,,,325.0,,303.0,411.4,9.9999,8.830223,1.811846,3.233507,2.579271,481.020725,172.325983,6.8963212226,33.59768,26.82293,9.93748,0.34958,2.3083076607043864,0.0001244635441956
Indium,49,155.0,15.7,114.818,65.0,5,2353.0,779.0,,142.0,142.0,136.0,146.0,643.0,7.31,4.0,0.3,225.1,3.24,,80,243.0,62.0,429.32,84,142.0,158.0,,0.234,81.8,193.0,243.0,220.00000000000003,193.0,459.0,264.0,,,446.3,14.0002,12.885645,1.584974,2.745684,1.772557,180.425142,59.03284,4.8240016738,343.24574,95.77966,33.29902,0.43818,5.124412357937871,0.0447119322018113
Zirconium,40,155.0,14.1,91.224,112.0,5,4650.0,,,175.0,154.0,127.0,121.0,1360.0,6.52,13.0,0.426,567.0,19.2,,49,610.0,59.0,2125.0,44,145.0,160.0,,0.281,22.7,223.0,252.0,229.99999999999997,,,254.0,,,312.4,13.0001,12.004712,1.740299,2.443752,1.788788,157.555295,43.4616,4.5436225423,930.20851,823.87718,305.58726,0.34802,4.817025845979558,0.0621480468022132
Yttrium,39,180.0,19.8,88.90584,162.0,5,3611.0,,,190.0,163.0,130.0,124.0,2600.0,4.47,12.0,0.307,367.0,11.5,945.9,21,424.7,90.0,1795.0,12,162.0,180.0,967.0,0.284,,231.99999999999997,275.0,240.0,,,271.0,,,334.5,11.9998,10.969462,1.851696,2.619778,1.986491,212.74784,65.069771,5.0458025595,392.16302,562.49297,223.36647,0.25913,4.632991519137981,0.0586469620362772
Tantalum,73,145.0,10.9,180.94788,74.0,6,5698.0,,,170.0,146.0,126.0,119.0,887.0,16.4,20.0,0.322,758.0,24.7,,52,782.0,72.0,3269.0,49,134.0,146.0,,0.14,57.5,222.00000000000003,253.0,220.00000000000003,,,243.00000000000003,,,317.0,28.0003,26.999544,1.619039,2.409388,1.558314,128.334835,30.065419,4.2409453859,1740.99067,2258.63998,1029.38703,0.09708,4.868235702562316,0.0561596401441034
Strontium,38,200.0,33.7,87.62,197.2,5,1657.0,3175.0,195.0,195.0,185.0,157.0,139.0,3230.0,2.64,0.2,0.048,144.0,9.2,,15,164.0,118.0,1042.0,8,191.0,215.0,,0.301,,249.00000000000003,284.0,254.99999999999997,,,300.0,,249.00000000000003,364.1,11.0,9.886223,1.910118,2.928166,2.383004,333.896394,117.093181,5.9342838685,130.09873,168.15819,66.11013,0.2718,4.451627386944089,0.0479932389711342
Rhenium,75,135.0,8.85,186.207,62.0,6,5900.0,,,151.0,131.0,119.0,110.0,663.0,20.8,3.0,0.15,704.0,34.0,,58,774.0,63.0,3453.0,57,128.0,137.0,,0.138,48.0,216.0,249.0,204.99999999999997,,,237.0,,,295.4,15.9999,14.934331,1.374854,2.299586,1.320261,100.843211,19.61102,3.9368896966,3501.73236,4582.32578,1787.59034,0.2817,4.959081746888309,0.0457472904578411
Niobium,41,145.0,10.8,92.90637,98.0,5,5015.0,,,164.0,147.0,125.0,116.0,1140.0,8.57,8.0,0.917406,680.0,26.8,,53,733.0,72.0,2741.0,48,134.0,146.0,,0.268,53.7,218.00000000000003,256.0,215.0,,,243.00000000000003,,,316.5,14.0001,12.916826,1.626436,2.412199,1.559032,125.868122,31.868896,4.242892143,1620.01587,-1462.08151,-440.3096,0.66029,4.942415120149967,0.060011983597032
Sodium,11,180.0,23.7,22.98976928,162.7,3,1156.1,1518.0,177.0,166.0,155.0,160.0,,1570.0,0.97,0.5,0.547926,97.9,2.64,,11,107.5,99.0,370.96,2,157.0,190.0,,1.222,142.0,227.0,250.0,240.0,227.0,,270.0,176.0,,298.3,9.9999,8.801691,1.938265,2.251995,2.338292,200.104177,152.026014,5.2100053137,84.89276,77.96226,29.38663,0.32649,4.928493320125554,0.0569925621306644
